lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
4974490;88;0.69;-432.3
4980975;19;0.22;-506.8
4983890;138;0.79;-182.7
4984641;114;0.75;-235.1
4985244;123;0.77;-197.1
4986644;101;0.74;-259.9
4986938;103;0.77;-224.3
4987375;25;0.25;-671.6
4987614;45;0.47;-451.6
4988295;18;0.18;-506.5
4990342;80;0.69;-341.2
4992661;87;0.69;-308.7
4993260;16;0.17;-662.8
4994178;8;0.1;-556.5
4995523;95;0.81;-153.1
4996803;13;0.16;-561.8
5000507;29;0.33;-544
5003259;168;0.8;-149
5004188;85;0.66;-313.8
5005440;50;0.47;-469
5007109;136;0.79;-177.7
5007516;190;0.84;-70.9
5012610;2;0.03;-371.5
5014093;40;0.37;-417
5016341;125;0.77;-175.6
5017878;33;0.35;-696.1
5021131;24;0.21;-518.1
5022217;17;0.21;-535.3
5023636;114;0.74;-248.3
5024588;35;0.38;-532.9
5024899;26;0.3;-541.5
5026486;20;0.22;-785.1
5026704;    ;0.19;-482.8
5028525;105;0.72;-144.2
5028744;32;0.32;-846.3
5029159;61;0.53;-441.7
5029529;83;0.69;-305.7
5031020;41;0.5;-464
5032182;20;0.24;-569.7
5032439;65;0.65;-1540.9
5033318;21;0.25;-525.9
5038327;23;0.28;-579.8
5040657;73;0.67;-228.2
5041646;10;0.12;383.9
5042312;116;0.71;-976.7
5042478;112;0.81;-333.4
5045618;70;0.65;-328.7
5049844;70;0.62;-435.5
5051228;135;0.83;-11.9
5053043;111;0.83;-105.9
5054390;12;0.17;-768.1
5056052;35;0.4;-508.3
5057401;24;0.2;-761.2
5058893;17;0.22;-441
5059908;10;0.14;-514.9
5061490;60;0.58;-800.2
5066605;68;0.6;-515.7
5068562;73;0.63;-171.1
5070179;129;0.79;-142.5
5073493;80;0.66;-501.5
5074086;60;0.58;-366.6
5076163;115;0.76;-125.3
5080390;93;0.71;-228.1
5080639;100;0.77;-275.2
5081156;87;0.78;-272.6
5082352;12;0.16;-280.6
5084755;95;0.81;-156.6
5085963;8;0.11;-495.8
5089572;32;0.36;-602.8
5092193;85;0.69;-270.1
5098419;90;0.71;-281.8
5099993;70;0.65;-80.5
5100119;102;0.78;-258.3
5100498;52;0.51;-490.2
5105453;25;0.32;-467.4
5105614;25;0.29;-613.3
5105860;29;0.35;-463
5108871;91;0.79;-159.1
5109065;97;0.8;-219.5
5111076;69;0.63;-516
5117204;23;0.26;-543.7
5123066;71;0.63;-524.3
